subject_id	subject_label	predicate_id	object_id	mapping_justification	confidence	comment
MONDO:0006451	thymic carcinoma	oboInOwl:hasDbXref	DOID:3284	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006451	thymic carcinoma	skos:exactMatch	DOID:3284	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011812	Duane-radial ray syndrome	skos:exactMatch	Orphanet:93293	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004947	B-cell acute lymphoblastic leukemia	oboInOwl:hasDbXref	DOID:7061	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0013626	psoriasis 14, pustular	skos:exactMatch	Orphanet:163931	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010574	syndromic X-linked intellectual disability 5	skos:exactMatch	Orphanet:85329	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007100	familial amyloid neuropathy	oboInOwl:hasDbXref	DOID:0050761	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006558	pemphigoid gestationis	skos:exactMatch	DOID:0040098	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0006558	pemphigoid gestationis	oboInOwl:hasDbXref	DOID:0040098	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0015914	primary orthostatic hypotension	skos:narrowMatch	Orphanet:448426	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0011147	chromosome 18q deletion syndrome	skos:exactMatch	Orphanet:1600	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004967	acute lymphoblastic leukemia	skos:exactMatch	DOID:1037	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004967	acute lymphoblastic leukemia	oboInOwl:hasDbXref	DOID:1037	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0010600	granulomatous disease, chronic, X-linked	skos:exactMatch	OMIM:138990	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004935	acquired carotenemia	oboInOwl:hasDbXref	DOID:9969	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0004935	acquired carotenemia	skos:exactMatch	DOID:9969	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0014175	mitochondrial DNA depletion syndrome 12B (cardiomyopathic type), autosomal recessive	oboInOwl:hasDbXref	DOID:0080130	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0030914	Clark-Baraitser syndrome	skos:exactMatch	OMIM:617752	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007179	autoimmune disease	oboInOwl:hasDbXref	DOID:417	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007179	autoimmune disease	skos:exactMatch	DOID:417	semapv:UnspecifiedMatching	0.8	UNIQUE_1
MONDO:0007617	Coffin-Siris syndrome 1	skos:exactMatch	OMIM:135900	semapv:UnspecifiedMatching	0.8	UNIQUE_1
